Location,Frozen pizza,Eggs Dozen,Potato,Celsius 4 pack,Crushed Tomatoes,Light Red Kidney Beans,Spaghetti Noodles,Spaghetti Sauce,Green Peppers,Tomato Paste,Onion x2,Apple Juice,Butter 1/4,Coffee 1/4,Dark Red Kidney Beans,Ground beef x2,1/2 gallon milk,Cereal,Lunch meat,Bread,American cheese,Ramen pack,Poptarts,Row Sums,antihistamine,Ibuprofen,Row Sum
"Auburn, AL",4.99,2.69,0.99,9.39,3.59,1.29,1.99,1.89,2.39,0.85,2.58,1.99,1.4475,4.6475,1.59,12.98,1.59,5.79,3.79,3.29,4.59,2.19,3.99,80.525,7.99,4.39,173.43
"Montevallo, AL",4.99,2.69,0.99,9.39,3.59,1.29,1.99,1.89,2.39,0.85,2.58,1.99,1.4475,4.6475,1.59,12.98,1.59,5.79,3.79,3.29,4.59,2.19,3.99,80.525,7.99,4.39,173.43
"Tuscaloosa, AL",4.19,2.19,0.89,7.89,2.99,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.8725,1.29,12.98,1.89,5.29,3.49,3.29,4.29,1.99,3.99,73.55,7.99,3.99,159.08
"Tuskegee, AL",4.99,2.69,0.99,9.39,3.59,1.29,1.99,1.89,2.39,0.85,2.58,1.99,1.4475,4.6475,1.59,12.98,1.59,5.79,3.79,3.29,4.59,2.19,3.99,80.525,7.99,4.39,173.43
"Flagstaff, AZ",4.19,1.79,0.89,7.89,2.99,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.3475,3.3225,1.29,12.98,2.29,5.29,3.49,3.29,4.29,1.99,3.99,72.9,7.99,3.99,157.78
"Fayetteville, AR",4.19,2.69,0.89,7.89,2.89,1.29,1.89,1.69,1.89,0.85,1.9,1.99,1.4475,3.3225,1.29,12.98,1.99,5.29,3.49,3.29,4.29,1.99,3.99,73.42,7.99,3.99,158.82
"Chico, CA",4.49,2.69,0.89,7.89,2.69,1.29,1.89,1.79,1.89,0.85,1.9,1.99,1.0975,3.3225,1.29,12.98,2.59,5.29,3.49,3.29,4.29,2.69,3.99,74.57,7.99,3.99,161.12
"Davis, CA",4.49,3.49,0.89,7.89,2.69,1.29,1.89,1.79,1.89,0.85,1.9,1.99,1.0975,3.3225,1.29,12.98,2.59,5.29,3.49,3.29,4.29,2.69,3.99,75.37,7.99,3.99,162.72
"Santa, Cruz, CA",4.99,2.99,0.99,9.99,2.79,1.49,1.99,1.99,2.19,0.99,2.38,2.29,1.3475,3.7225,1.29,12.98,2.59,5.29,3.49,2.89,4.29,2.99,3.99,79.94,8.79,4.39,173.06
"Boulder, CO",4.19,1.79,0.85,7.89,2.99,1.29,1.89,1.69,1.89,0.85,1.7,1.99,1.4475,3.3225,1.29,12.98,1.79,5.29,3.49,3.29,4.29,1.99,3.99,72.18,7.99,3.99,156.34
"Fort, Collins, CO",4.19,1.79,0.85,7.89,2.99,1.29,1.89,1.69,1.89,0.85,1.7,1.99,1.4475,3.3225,1.29,12.98,1.79,5.29,3.49,3.29,4.29,1.99,3.99,72.18,7.99,3.99,156.34
"Willimantic, CT",4.19,2.69,0.89,7.89,2.69,1.29,1.89,1.69,1.89,0.85,1.98,2.19,1.4475,3.3225,1.29,12.98,1.59,5.29,3.49,3.29,4.29,1.99,3.99,73.1,7.99,3.99,158.18
"Newark, DE",4.19,2.19,1.29,7.89,2.69,1.29,1.79,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,2.29,5.29,3.49,3.29,4.29,1.99,3.99,73.4,7.99,3.99,158.78
"Gainesville, FL",4.19,2.19,0.89,7.89,1.99,1.29,1.89,1.69,1.89,0.85,2.98,2.19,1.4475,3.3225,1.29,12.98,1.79,5.29,3.49,3.29,4.29,1.99,3.99,73.1,7.99,3.99,158.18
"Tallahassee, FL",4.99,2.69,0.99,9.39,2.39,1.29,1.99,1.89,2.39,0.99,3.78,2.59,1.4475,3.9225,1.59,12.98,1.99,5.79,3.79,3.29,4.59,2.19,3.99,80.94,8.79,4.39,175.06
"Tallahassee, FL",4.99,2.69,0.99,9.39,2.39,1.29,1.99,1.89,2.39,0.99,3.78,2.59,1.4475,3.9225,1.59,12.98,1.99,5.79,3.79,3.29,4.59,2.19,3.99,80.94,8.79,4.39,175.06
"Athens, GA",4.19,2.69,0.89,7.89,2.49,1.29,1.89,1.69,1.59,0.85,2.38,1.99,1.4475,3.3225,1.29,12.98,1.69,5.29,3.49,3.29,4.29,1.99,3.99,72.9,7.99,3.99,157.78
"Dahlonega, GA",4.19,2.19,0.89,7.89,2.99,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.8725,1.29,12.98,1.79,5.29,3.99,3.29,4.29,1.99,3.99,73.95,7.99,3.99,159.88
"Fort, Valley, GA",4.19,2.19,0.89,7.89,2.49,1.29,1.89,1.69,1.59,0.85,2.38,1.99,1.4475,3.3225,1.29,12.98,1.49,5.29,3.49,3.29,4.29,1.99,3.99,72.2,7.99,3.99,156.38
"Valdosta, GA",4.19,2.69,0.89,7.89,1.99,1.29,1.89,1.69,1.89,0.85,2.98,2.19,1.4475,3.3225,1.29,12.98,2.69,5.29,3.49,3.29,4.29,1.99,3.99,74.5,7.99,3.99,160.98
"Carbondale, IL",4.19,2.69,0.89,7.89,2.79,1.29,1.89,1.69,1.89,0.85,1.9,1.99,1.4475,3.3225,1.29,12.98,1.79,5.29,3.49,3.29,4.29,1.99,3.99,73.12,7.99,3.99,158.22
"Champaign, Urbana, IL",4.99,2.19,0.99,9.39,3.29,1.29,1.99,1.89,2.39,0.99,2.58,2.59,1.4475,3.9225,1.59,12.98,2.39,5.79,3.79,3.29,4.59,2.19,3.99,80.54,8.79,4.39,174.26
"Edwardsville, IL",4.19,2.19,1.29,7.89,2.69,1.29,1.79,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,2.29,5.29,3.49,3.29,4.29,1.99,3.99,73.4,7.99,3.99,158.78
"Bloomington, IN",4.19,2.69,0.89,7.89,2.79,1.29,1.89,1.69,1.89,0.85,1.98,2.19,1.4475,3.3225,1.29,12.98,1.59,5.29,3.49,3.29,4.29,1.99,3.99,73.2,7.99,3.99,158.38
"West, Lafayette, IN",4.99,3.39,0.99,9.39,3.29,1.29,1.99,1.89,2.39,0.99,2.58,2.59,1.4475,3.9225,1.59,12.98,2.19,5.79,3.79,3.29,4.59,2.19,3.99,81.54,8.79,4.39,176.26
"Ames, IA",4.19,2.19,0.85,7.89,3.19,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,1.69,5.29,3.49,3.29,4.29,1.99,3.99,72.96,7.99,3.99,157.9
"Cedar, Falls, IA",4.19,2.19,0.85,7.89,3.19,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,1.69,5.29,3.49,3.29,4.29,1.99,3.99,72.96,7.99,3.99,157.9
"Iowa, City, IA",4.19,2.19,0.85,7.89,3.19,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,1.69,5.29,3.49,3.29,4.29,1.99,3.99,72.96,7.99,3.99,157.9
"Lawrence, KS",4.19,2.19,0.89,7.89,2.89,1.29,1.89,1.69,1.89,0.85,1.9,1.99,1.4475,3.3225,1.29,12.98,1.99,5.29,3.49,3.29,4.29,1.99,3.99,72.92,7.99,3.99,157.82
"Manhattan, KS",4.19,2.19,0.89,7.89,2.89,1.29,1.89,1.69,1.89,0.85,1.9,1.99,1.4475,3.3225,1.29,12.98,1.99,5.29,3.49,3.29,4.29,1.99,3.99,72.92,7.99,3.99,157.82
"Bowling, Green, KY",4.19,2.19,0.89,7.89,2.79,1.29,1.89,1.69,1.89,0.85,1.9,1.99,1.4475,3.3225,1.29,12.98,1.59,5.29,3.49,3.29,4.29,1.99,3.99,72.42,7.99,3.99,156.82
"Gorham, ME",4.19,2.19,0.89,7.89,2.49,1.29,1.89,1.69,1.89,0.85,1.98,2.19,1.4475,3.3225,1.29,12.98,1.59,5.29,3.49,3.29,4.29,1.99,3.99,72.4,7.99,3.99,156.78
"Princess, Anne, MD",4.19,2.69,0.99,7.89,2.79,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,1.59,5.29,3.49,3.29,4.29,1.99,3.99,73.1,7.99,3.99,158.18
"Salisbury, MD",4.19,2.69,0.99,7.89,2.79,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,1.59,5.29,3.49,3.29,4.29,1.99,3.99,73.1,7.99,3.99,158.18
"Amherst, MA",4.19,2.89,0.89,7.89,2.69,1.29,1.89,1.69,1.89,0.85,1.98,2.19,1.4475,3.3225,1.29,12.98,1.59,5.29,3.49,3.29,4.29,1.99,3.99,73.3,7.99,3.99,158.58
"Bridgewater, MA",4.19,1.79,0.89,7.89,2.49,1.29,1.89,1.69,1.89,0.85,1.98,2.19,1.4475,3.3225,1.29,12.98,1.59,5.29,3.49,3.29,4.29,1.99,3.99,72,7.99,3.99,155.98
"Ann, Arbor, MI",4.19,2.19,0.89,7.89,2.69,1.29,1.89,1.69,1.89,0.85,1.98,2.19,1.4475,3.3225,1.29,12.98,1.69,5.29,3.49,3.29,4.29,1.99,3.99,72.7,7.99,3.99,157.38
"Detroit, MI",4.19,2.79,0.89,7.89,2.69,1.29,1.89,1.69,1.89,0.85,1.98,2.19,1.4475,3.3225,1.29,12.98,1.59,5.29,3.49,3.29,4.29,1.99,3.99,73.2,7.99,3.99,158.38
"East, Lansing, MI",4.19,2.69,0.89,7.89,1.99,1.29,1.89,1.69,1.89,0.85,1.98,2.19,1.4475,3.3225,1.29,12.98,1.59,5.29,3.49,3.29,4.29,1.99,3.99,72.4,7.99,3.99,156.78
"Kalamazoo, MI",4.19,2.69,0.89,7.89,1.99,1.29,1.89,1.69,1.89,0.85,1.98,2.19,1.4475,3.3225,1.29,12.98,1.59,5.29,3.49,3.29,4.29,1.99,3.99,72.4,7.99,3.99,156.78
"Ypsilanti, MI",4.19,2.79,0.89,7.89,2.69,1.29,1.89,1.69,1.89,0.85,1.98,2.19,1.4475,3.3225,1.29,12.98,1.89,5.29,3.49,3.29,4.29,1.99,3.99,73.5,7.99,3.99,158.98
"Minneapolis, MN",4.19,2.19,0.89,8.99,3.19,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,1.59,5.29,3.49,3.29,4.29,1.99,3.99,74,7.99,3.99,159.98
"Northfield, MN",4.19,2.19,0.89,8.99,3.19,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,1.59,5.29,3.49,3.29,4.29,1.99,3.99,74,7.99,3.99,159.98
"St., Cloud, MN",4.19,2.69,0.89,8.99,3.19,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,1.69,5.29,3.49,3.29,4.29,1.99,3.99,74.6,7.99,3.99,161.18
"Hattiesburg, MS",4.19,2.69,0.89,7.89,2.99,1.29,1.89,1.69,1.89,0.85,1.98,2.19,1.4475,3.3225,1.29,12.98,1.99,5.29,3.49,3.29,4.29,1.99,3.99,73.8,7.99,3.99,159.58
"Starkville, MS",4.19,2.19,0.89,7.89,2.99,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.8725,1.29,12.98,1.89,5.29,3.49,3.29,4.29,1.99,3.99,73.55,7.99,3.99,159.08
"Columbia, MO",4.19,2.19,0.89,7.89,2.79,1.29,1.89,1.69,1.89,0.85,1.9,1.99,1.4475,3.3225,1.29,12.98,2.19,5.29,3.49,3.29,4.29,1.99,3.99,73.02,7.99,3.99,158.02
"Bozeman, MT",4.19,1.79,0.85,7.89,2.99,1.29,1.89,1.69,1.89,0.85,1.7,1.99,1.4475,3.3225,1.29,12.98,1.59,5.29,3.49,3.29,4.29,1.99,3.99,71.98,7.99,3.99,155.94
"Lincoln, NE",4.19,2.69,0.85,7.89,3.19,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,1.69,5.29,3.49,3.29,4.29,1.99,3.99,73.46,7.99,3.99,158.9
"Durham, NH",4.19,2.19,0.89,7.89,2.49,1.29,1.89,1.69,1.89,0.85,1.98,2.19,1.4475,3.3225,1.29,12.98,1.59,5.29,3.49,3.29,4.29,1.99,3.99,72.4,7.99,3.99,156.78
"Glassboro, NJ",4.19,2.69,1.29,7.89,2.69,1.29,1.79,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,2.29,5.29,3.49,3.29,4.29,1.99,3.99,73.9,7.99,3.99,159.78
"Las, Cruces, NM",4.19,2.69,0.89,7.89,2.99,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,1.79,5.29,3.49,3.29,4.29,1.99,3.99,73.4,7.99,3.99,158.78
"Brockport, NY",4.19,2.69,0.99,7.89,2.79,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,1.59,5.29,3.49,3.29,4.29,1.99,3.99,73.1,8.99,3.99,159.18
"Cortland, NY",4.19,2.69,0.99,7.89,2.79,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,1.59,5.29,3.49,3.29,4.29,1.99,3.99,73.1,8.99,3.99,159.18
"Geneseo, NY",4.19,2.69,0.99,7.89,2.79,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,1.59,5.29,3.49,3.29,4.29,1.99,3.99,73.1,8.99,3.99,159.18
"New, Paltz, NY",4.19,2.19,0.99,7.89,2.79,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,1.69,5.29,3.49,3.29,4.29,1.99,3.99,72.7,7.99,3.99,157.38
"Saratoga, Springs, NY",4.19,2.69,0.99,7.89,2.79,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,1.69,5.29,3.49,3.29,4.29,1.99,3.99,73.2,7.99,3.99,158.38
"Chapel, Hill, NC",4.19,2.19,0.89,7.89,2.99,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,1.49,5.29,3.49,3.29,4.29,1.99,3.99,72.6,7.99,3.99,157.18
"Greenville, NC",4.19,2.19,0.89,7.89,2.99,1.29,1.89,1.69,1.89,0.85,1.98,2.19,1.4475,3.3225,1.29,12.98,1.59,5.29,3.99,3.29,4.29,1.99,3.99,73.4,7.99,3.99,158.78
"Grand, Forks, ND",4.19,2.79,0.89,8.99,3.19,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,1.89,5.29,3.49,3.29,4.29,1.99,3.99,74.9,7.99,3.99,161.78
"Bowling, Green, OH",4.19,2.79,0.89,7.49,2.79,1.29,1.89,1.69,1.89,0.85,1.9,1.99,1.4475,3.3225,1.29,12.98,1.59,5.29,3.49,3.29,4.29,1.99,3.99,72.62,7.99,3.99,157.22
"Kent, OH",4.19,2.69,0.89,7.89,2.79,1.29,1.89,1.69,1.89,0.85,1.9,1.99,1.4475,3.3225,1.29,12.98,1.59,5.29,3.49,3.29,4.29,1.99,3.99,72.92,7.99,3.99,157.82
"Oxford, OH",4.19,2.69,0.89,7.49,2.79,1.29,1.89,1.69,1.89,0.85,1.9,1.99,1.4475,3.3225,1.29,12.98,1.59,5.29,3.49,3.29,4.29,1.99,3.99,72.52,7.99,3.99,157.02
"Edmond, OK",4.19,2.19,0.89,7.89,2.49,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,1.89,5.29,3.49,3.29,4.29,1.99,3.99,72.5,7.99,3.99,156.98
"Norman, OK",4.19,2.19,0.89,7.89,2.49,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,1.89,5.29,3.49,3.29,4.29,1.99,3.99,72.5,7.99,3.99,156.98
"Stillwater, OK",4.19,2.19,0.89,7.89,2.49,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,1.89,5.29,3.49,3.29,4.29,1.99,3.99,72.5,7.99,3.99,156.98
"Monmouth, OR",4.19,1.99,1.29,8.99,3.19,1.29,1.99,1.69,1.89,0.85,1.5,1.99,1.6225,3.3225,1.29,12.98,1.59,5.29,3.49,3.29,4.29,2.19,3.99,74.195,7.99,3.99,160.37
"California, PA",4.19,2.69,0.89,7.89,2.79,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,1.59,5.29,3.49,3.29,4.29,1.99,3.99,73,7.99,3.99,157.98
"Kutztown, PA",4.19,2.19,1.29,7.89,2.69,1.29,1.79,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,2.29,5.29,3.49,3.29,4.29,1.99,3.99,73.4,7.99,3.99,158.78
"Millersville, PA",4.19,2.19,1.29,7.89,2.69,1.29,1.79,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,2.29,5.29,3.49,3.29,4.29,1.99,3.99,73.4,7.99,3.99,158.78
"State, College, PA",4.99,2.69,1.29,9.69,2.79,1.29,1.79,1.89,2.39,0.99,2.58,1.99,1.4475,4.0725,1.59,12.98,2.49,5.89,3.79,3.29,4.29,2.19,3.99,80.39,9.99,3.99,174.76
"Clemson, SC",4.19,2.79,0.89,7.89,2.99,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.8725,1.29,12.98,1.59,5.29,3.49,3.29,4.29,1.99,3.99,73.85,7.99,3.99,159.68
"Murfreesboro, TN",4.19,2.69,0.89,7.89,2.79,1.29,1.89,1.69,1.89,0.85,1.9,1.99,1.4475,3.3225,1.29,12.98,2.19,5.29,3.49,3.29,4.29,1.99,3.99,73.52,7.99,3.99,159.02
"College, Station, TX",4.19,2.19,0.89,7.89,2.49,1.29,1.89,1.69,1.59,0.85,2.38,1.99,1.4475,3.3225,1.29,12.98,1.59,5.29,3.49,3.29,4.29,1.99,3.99,72.3,7.99,3.99,156.58
"Denton, TX",4.19,2.69,0.89,7.89,2.49,1.29,1.89,1.69,1.59,0.85,2.38,1.99,1.4475,3.3225,1.29,12.98,1.59,5.29,3.49,3.29,4.29,1.99,3.99,72.8,7.99,3.99,157.58
"Prairie, View, TX",4.19,2.69,0.89,7.89,2.49,1.29,1.89,1.69,1.59,0.85,2.38,1.99,1.4475,3.3225,1.29,12.98,1.29,5.29,3.49,3.29,4.29,1.99,3.99,72.5,7.99,3.99,156.98
"San, Marcos, TX",4.19,2.19,0.99,9.39,2.99,1.29,1.99,1.89,1.99,0.99,2.98,2.59,1.4475,3.9225,1.29,12.98,1.99,5.79,3.79,3.29,4.59,2.19,3.99,78.74,8.79,4.39,170.66
"Blacksburg, VA",4.19,2.19,0.89,7.89,2.99,1.29,1.89,1.69,1.89,0.85,1.98,2.19,1.4475,3.3225,1.29,12.98,1.89,5.29,3.49,3.29,4.29,1.99,3.99,73.2,7.99,3.99,158.38
"Charlottesville, VA",4.19,2.19,0.89,7.89,2.99,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,1.89,5.29,3.49,3.29,4.29,1.99,3.99,73,7.99,3.99,157.98
"Fredericksburg, VA",4.19,2.19,0.99,7.89,2.99,1.29,1.79,1.69,1.89,0.85,1.98,2.19,1.4475,3.3225,1.29,12.98,1.89,5.29,3.49,3.29,4.29,1.99,3.99,73.2,7.99,3.99,158.38
"Radford, VA",4.19,2.69,0.89,7.89,2.99,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,1.89,5.29,3.49,3.29,4.29,1.99,3.99,73.5,7.99,3.99,158.98
"Williamsburg, VA",4.19,2.19,0.89,7.89,2.99,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,1.89,5.29,3.49,3.29,4.29,1.99,3.99,73,7.99,3.99,157.98
"Fairmont, WV",4.19,2.19,0.89,7.89,2.79,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,1.59,5.29,3.49,3.29,4.29,1.99,3.99,72.5,7.99,3.99,156.98
"Morgantown, WV",4.19,2.19,0.89,7.89,2.79,1.29,1.89,1.69,1.89,0.85,1.98,1.99,1.4475,3.3225,1.29,12.98,1.59,5.29,3.49,3.29,4.29,1.99,3.99,72.5,7.99,3.99,156.98
"Madison, WI",4.19,2.19,0.95,9.39,3.79,1.59,1.99,1.89,2.39,0.99,2.98,2.39,1.4475,3.9225,1.59,12.98,1.69,5.79,3.79,3.29,4.59,2.19,3.99,80,8.79,4.39,173.18
