Location,Dark Red Kidney Beans,Ground Beef x 2,1/2 gallon milk,Cereal,Lunch meat,Bread,American cheese,Ramen pack,Poptarts
"Auburn, AL",1.59,6.49,1.59,5.79,3.79,3.29,4.59,2.19,3.99
"Montevallo, AL",1.59,6.49,1.59,5.79,3.79,3.29,4.59,2.19,3.99
"Tuscaloosa, AL",1.29,6.49,1.89,5.29,3.49,3.29,4.29,1.99,3.99
"Tuskegee, AL",1.59,6.49,1.59,5.79,3.79,3.29,4.59,2.19,3.99
"Flagstaff, AZ",1.29,6.49,2.29,5.29,3.49,3.29,4.29,1.99,3.99
"Fayetteville, AR",1.29,6.49,1.99,5.29,3.49,3.29,4.29,1.99,3.99
"Chico, CA",1.29,6.49,2.59,5.29,3.49,3.29,4.29,2.69,3.99
"Davis, CA",1.29,6.49,2.59,5.29,3.49,3.29,4.29,2.69,3.99
"Santa, Cruz, CA",1.29,6.49,2.59,5.29,3.49,2.89,4.29,2.99,3.99
"Boulder, CO",1.29,6.49,1.79,5.29,3.49,3.29,4.29,1.99,3.99
"Fort, Collins, CO",1.29,6.49,1.79,5.29,3.49,3.29,4.29,1.99,3.99
"Willimantic, CT",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Newark, DE",1.29,6.49,2.29,5.29,3.49,3.29,4.29,1.99,3.99
"Gainesville, FL",1.29,6.49,1.79,5.29,3.49,3.29,4.29,1.99,3.99
"Tallahassee, FL",1.59,6.49,1.99,5.79,3.79,3.29,4.59,2.19,3.99
"Tallahassee, FL",1.59,6.49,1.99,5.79,3.79,3.29,4.59,2.19,3.99
"Athens, GA",1.29,6.49,1.69,5.29,3.49,3.29,4.29,1.99,3.99
"Dahlonega, GA",1.29,6.49,1.79,5.29,3.99,3.29,4.29,1.99,3.99
"Fort, Valley, GA",1.29,6.49,1.49,5.29,3.49,3.29,4.29,1.99,3.99
"Valdosta, GA",1.29,6.49,2.69,5.29,3.49,3.29,4.29,1.99,3.99
"Carbondale, IL",1.29,6.49,1.79,5.29,3.49,3.29,4.29,1.99,3.99
"Champaign, Urbana, IL",1.59,6.49,2.39,5.79,3.79,3.29,4.59,2.19,3.99
"Edwardsville, IL",1.29,6.49,2.29,5.29,3.49,3.29,4.29,1.99,3.99
"Bloomington, IN",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"West, Lafayette, IN",1.59,6.49,2.19,5.79,3.79,3.29,4.59,2.19,3.99
"Ames, IA",1.29,6.49,1.69,5.29,3.49,3.29,4.29,1.99,3.99
"Cedar, Falls, IA",1.29,6.49,1.69,5.29,3.49,3.29,4.29,1.99,3.99
"Iowa, City, IA",1.29,6.49,1.69,5.29,3.49,3.29,4.29,1.99,3.99
"Lawrence, KS",1.29,6.49,1.99,5.29,3.49,3.29,4.29,1.99,3.99
"Manhattan, KS",1.29,6.49,1.99,5.29,3.49,3.29,4.29,1.99,3.99
"Bowling, Green, KY",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Gorham, ME",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Princess, Anne, MD",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Salisbury, MD",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Amherst, MA",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Bridgewater, MA",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Ann, Arbor, MI",1.29,6.49,1.69,5.29,3.49,3.29,4.29,1.99,3.99
"Detroit, MI",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"East, Lansing, MI",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Kalamazoo, MI",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Ypsilanti, MI",1.29,6.49,1.89,5.29,3.49,3.29,4.29,1.99,3.99
"Minneapolis, MN",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Northfield, MN",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"St., Cloud, MN",1.29,6.49,1.69,5.29,3.49,3.29,4.29,1.99,3.99
"Hattiesburg, MS",1.29,6.49,1.99,5.29,3.49,3.29,4.29,1.99,3.99
"Starkville, MS",1.29,6.49,1.89,5.29,3.49,3.29,4.29,1.99,3.99
"Columbia, MO",1.29,6.49,2.19,5.29,3.49,3.29,4.29,1.99,3.99
"Bozeman, MT",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Lincoln, NE",1.29,6.49,1.69,5.29,3.49,3.29,4.29,1.99,3.99
"Durham, NH",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Glassboro, NJ",1.29,6.49,2.29,5.29,3.49,3.29,4.29,1.99,3.99
"Las, Cruces, NM",1.29,6.49,1.79,5.29,3.49,3.29,4.29,1.99,3.99
"Brockport, NY",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Cortland, NY",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Geneseo, NY",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"New, Paltz, NY",1.29,6.49,1.69,5.29,3.49,3.29,4.29,1.99,3.99
"Saratoga, Springs, NY",1.29,6.49,1.69,5.29,3.49,3.29,4.29,1.99,3.99
"Chapel, Hill, NC",1.29,6.49,1.49,5.29,3.49,3.29,4.29,1.99,3.99
"Greenville, NC",1.29,6.49,1.59,5.29,3.99,3.29,4.29,1.99,3.99
"Grand, Forks, ND",1.29,6.49,1.89,5.29,3.49,3.29,4.29,1.99,3.99
"Bowling, Green, OH",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Kent, OH",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Oxford, OH",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Edmond, OK",1.29,6.49,1.89,5.29,3.49,3.29,4.29,1.99,3.99
"Norman, OK",1.29,6.49,1.89,5.29,3.49,3.29,4.29,1.99,3.99
"Stillwater, OK",1.29,6.49,1.89,5.29,3.49,3.29,4.29,1.99,3.99
"Monmouth, OR",1.29,6.49,1.59,5.29,3.49,3.29,4.29,2.19,3.99
"California, PA",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Kutztown, PA",1.29,6.49,2.29,5.29,3.49,3.29,4.29,1.99,3.99
"Millersville, PA",1.29,6.49,2.29,5.29,3.49,3.29,4.29,1.99,3.99
"State, College, PA",1.59,6.49,2.49,5.89,3.79,3.29,4.29,2.19,3.99
"Clemson, SC",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Murfreesboro, TN",1.29,6.49,2.19,5.29,3.49,3.29,4.29,1.99,3.99
"College, Station, TX",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Denton, TX",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Prairie, View, TX",1.29,6.49,1.29,5.29,3.49,3.29,4.29,1.99,3.99
"San, Marcos, TX",1.29,6.49,1.99,5.79,3.79,3.29,4.59,2.19,3.99
"Blacksburg, VA",1.29,6.49,1.89,5.29,3.49,3.29,4.29,1.99,3.99
"Charlottesville, VA",1.29,6.49,1.89,5.29,3.49,3.29,4.29,1.99,3.99
"Fredericksburg, VA",1.29,6.49,1.89,5.29,3.49,3.29,4.29,1.99,3.99
"Radford, VA",1.29,6.49,1.89,5.29,3.49,3.29,4.29,1.99,3.99
"Williamsburg, VA",1.29,6.49,1.89,5.29,3.49,3.29,4.29,1.99,3.99
"Fairmont, WV",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Morgantown, WV",1.29,6.49,1.59,5.29,3.49,3.29,4.29,1.99,3.99
"Madison, WI",1.59,6.49,1.69,5.79,3.79,3.29,4.59,2.19,3.99
